,United States,Northeast,Midwest,South,West
,Total1,Total1,Total1,Total1,Total1
2025,"131,200","116,000","128,900","131,200","142,100"
2024,"122,700","128,100","107,300","121,200","150,300"
2023,"126,600","122,600","116,800","125,100","149,600"
2022,"125,200","119,200","113,600","126,000","138,400"
2021,"111,900","100,900","107,300","110,700","128,800"
2020,"92,600","85,600","81,000","92,600","115,400"
2019,"81,600","79,200","73,400","79,500","101,400"
2018,"79,900","81,400","74,100","77,100","99,300"
2017,"71,800","75,300","68,100","65,800","114,500"
2016,"71,700","70,800","58,900","72,100","89,200"
2015,"68,000","79,000","61,100","63,200","96,100"
2014,"64,200","80,500","61,600","59,100","84,800"
