FullAddress,CommunityName ,PropertyID,CountyState,Risk,HousingCompany,PrivateEquityFirm,Units,YearAcquired,Fannie/Freddie,PropertyType,Latitude,Longitude,,
"1 Saddlebrook Dr Graystake,IL 60030",Saddlebrook Farms,IL-Saddlebrook Farms-1,"Lake, IL",Relatively High,Hometown America,Calzada Capital Partners,1775,2014,No,Manufactured Housing,42.247472,-87.952995,Calzada Capital Partners,77
"1000 US Highway 98 N Lakeland,FL 33809",Cypress Lake Village,FL-Cypress Lake Village-1000,"Polk, FL",Relatively High,Cove Communities,Montgomery Street Partners,1602,2022,No,Manufactured Housing,28.184555,-82.008824,Montgomery Street Partners,16
"45301 Chateau Thierry Blvd Macomb,MI 48044",Westbridge Manor,MI-Westbridge Manor-45301,"Macomb, MI",Relatively High,Yes! Communities,Stockbridge Capital Group,1446,2016,Fannie Mae,Manufactured Housing,42.631354,-82.904605,Stockbridge Capital Group,265
"15235 S Tamiami Trail Fort Myers,FL 33908",Jamaica Bay Village,FL-Jamaica Bay Village-15235,"Lee, FL",Relatively High,Cove Communities,Montgomery Street Partners,1417,2021,No,Manufactured Housing,26.521801,-81.864732,The Carlyle Group,63
"18621 N Tamiami Trl North Ft Myers,FL 33903",Del Tura Country Club,FL-Del Tura Country Club-18621,"Lee, FL",Relatively High,Hometown America,Calzada Capital Partners,1344,2010,Freddie Mac,Manufactured Housing,26.734732,-81.912256,Green Courte Partners,21
"12850 SW 14th St Miami,FL 33184",University Lakes,FL-University Lakes-12850,"Miami-Dade, FL",Very High,Hometown America,Calzada Capital Partners,1153,2001,Fannie Mae,Manufactured Housing,25.753952,-80.403975,Havenpark Capital Partners,89
"14205 E Colonial Dr Orlando,FL 32826",Fairways Country Club,FL-Fairways Country Club-14205,"Orange, FL",Relatively High,Hometown America,Calzada Capital Partners,1142,2003,Fannie Mae,Manufactured Housing,28.572422,-81.165543,Legacy Communities,67
"702 S Meridian Rd Apache Junction,AZ 85120",Superstition Sunrise RV Resort,AZ-Superstition Sunrise RV Resort-702,"Maricopa, AZ",Very High,The Carlyle Group,The Carlyle Group,1119,2020,No,Manufactured Housing,33.40182,-111.584714,Kingsley Management,30
"1811B W Gleaneagles Rd Ocala,FL 34472",Rolling Greens Village,FL-Rolling Greens Village-1811B,"Marion, FL",Relatively High,Cove Communities,Montgomery Street Partners,1100,N/A,No,Manufactured Housing,29.16882,-82.04136,Silver Creek Capital,41
"3000 Tanglewood Pkwy Sebring,FL 33872",Tanglewood,FL-Tanglewood-3000,"Highlands, FL",Relatively Moderate,Hometown America,Calzada Capital Partners,1094,2009,No,Manufactured Housing,27.518322,-81.507468,Brookfield Corporation,104
"1 Parkway Drive Olmsted Township,OH 44138",Columbia Park,OH-Columbia Park-1,"Cuyahoga, OH",Relatively High,Windward Communities,Green Courte Partners,1000,N/A,No,Manufactured Housing,41.386125,-81.905409,RHP Properties,272
"38000 Le Chateau Blvd Clinton Twp,MI 48038",Rivers Edge,MI-Rivers Edge-38000,"Macomb, MI",Relatively High,Havenpark Communities,Havenpark Capital Partners,958,2020,Fannie Mae,Manufactured Housing,42.576622,-82.961676,Sunrise Communities,16
"7100 Ulmeton Rd Largo,FL 33771",Ranchero Village,FL-Ranchero Village-7100,"Pinellas, FL",Relatively High,Legacy Communities,Legacy Communities,946,N/A,N/A,Manufactured Housing,27.910383,-82.747984,Apollo Global Management,115
"200 Oak Point Dr Middleborough,MA 2346",Oak Point,MA-Oak Point-200,"Plymouth, MA",Relatively Moderate,Hometown America,Calzada Capital Partners,880,2004,No,Manufactured Housing,41.948699,-70.902404,,0
"3419 FL-60 Valrico,FL 33594",StrawBerry Ridge Village,FL-StrawBerry Ridge Village-3419,"Hillsborough, FL",Relatively High,Cove Communities,Montgomery Street Partners,867,2022,No,Manufactured Housing,27.937563,-82.223617,Riverstone Capital Partners,73
"1700 East Lakeville Rd Oxford,MI 48371",Lake Villa,MI-Lake Villa-1700,"Oakland, MI",Relatively High,Kingsley Management,Kingsley Management,851,N/A,N/A,Manufactured Housing,42.825335,-83.231704,MHP Funds,125
"50333 Willis Rd Belleville,MI 48111",Holiday West,MI-Holiday West-50333,"Wayne, MI",Relatively High,Cambio Communities,Silver Creek Capital,844,N/A,Fannie Mae,Manufactured Housing,42.156333,-83.531652,The Blackstone Group,71
"7330 Landsend Lane Liverpool,NY 13090",Madison Village,NY-Madison Village-7330,"Onondaga, NY",Relatively Moderate,RHP Properties (Brookfield),Brookfield Corporation,835,N/A,No,Manufactured Housing,43.165843,-76.247175,Alden Global Capital,160
"9300 West 79th Street Justice,IL 60458",Sterling Estates,IL-Sterling Estates -9300,"Cook, IL",Very High,RHP Properties (RHP),RHP Properties,807,N/A,Freddie Mac,Manufactured Housing,41.747409,-87.848104,Federal Capital Partners,169
"1225 Vienna Dr Sunnyvale,CA 94089",Plaza Del rey,CA-Plaza Del rey-1225,"Santa Clara, CA",Very High,Hometown America,Calzada Capital Partners,800,2019,No,Manufactured Housing,37.399894,-122.002961,Crow Holdings Capital - Real Estate,21
"10400 Hwy 27 Frostproof,FL 33843",Camp Inn,FL-Camp Inn -10400,"Polk, FL",Relatively High,RHP Properties (RHP),RHP Properties,799,N/A,No,Manufactured Housing,27.776471,-81.599468,Open Capital,36
"4620 South High School Rd Indianapolis,IN 46241",Valleybrook,IN-Valleybrook-4620,"Marion, IN",Relatively High,Yes! Communities,Stockbridge Capital Group,798,2018,Freddie Mac,Manufactured Housing,39.696564,-86.275737,MHC Capital,28
"29800 Guilford Circle Chesterfield,MI 48051",Carriage Way,MI-Carriage Way-29800,"Macomb, MI",Relatively High,Havenpark Communities,Havenpark Capital Partners,798,2022,Fannie Mae,Manufactured Housing,42.684922,-82.809887,"Crow Holdings Capital - Real Estate,Legacy Communities",2
"3700 Palm Valley Cir Oviedo,FL 32765",Palm Valley,FL-Palm Valley-3700,"Seminole, FL",Relatively Moderate,Hometown America,Calzada Capital Partners,790,2019,Freddie Mac,Manufactured Housing,28.61815,-81.198195,TIR Equities,6
"5600 Old Capitol Trail Wilmington,DE 19808",Murray Manor,DE-Murray Manor -5600,"New Castle, DE",Relatively High,RHP Properties (RHP),RHP Properties,786,N/A,Freddie Mac,Manufactured Housing,39.711841,-75.670909,"Legacy Communities,Crow Holdings Capital - Real Estate",1
"10201 Riverdale Rd Thornton,CO 80229",Pine Lakes Ranch,CO-Pine Lakes Ranch-10201,"Adams, CO",Relatively Moderate,RHP Properties (RHP),RHP Properties,762,N/A,No,Manufactured Housing,39.880961,-104.938279,Keel Team,46
